"estimated_genus_name","year","OHI_region","status_adjusted","control_adjusted","n_species","n_species_original","n_species_gapfilled","n_regions_represented","genus_region_present","carta_provenance"
"strongylocentrotus",2018,"region_2","decreasing","decrease",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"thunnus",2018,"region_2","decreasing","decrease",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"trachurus",2018,"region_2","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"triaenodon",2018,"region_2","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"xiphias",2018,"region_2","development potential","increase",0,0,0,1,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 1 original and 0 gapfilled species-level recommendations pooled across 1 OHI regions with original Carta data; same values applied to every missing region"
"alopias",2018,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"anadara",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"apostichopus",2018,"region_3","decreasing","decrease",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"argopecten",2018,"region_3","decreasing","decrease",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"atrina",2018,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"callinectes",2018,"region_3","maximally harvested","no increase",3,1,2,NA,TRUE,"genus aggregation; mode across 1 original and 2 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"carcharhinus",2018,"region_3","maximally harvested","no increase",9,9,0,NA,TRUE,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"centropomus",2018,"region_3","maximally harvested","no increase",5,5,0,NA,TRUE,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"cetengraulis",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"chione",2018,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"chionista",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"chionopsis",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"chondracanthus",2018,"region_3","development potential","increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"crassostrea",2018,"region_3","maximally harvested","no increase",5,3,2,NA,TRUE,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"cynoscion",2018,"region_3","maximally harvested","no increase",0,0,0,5,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region"
"dosidicus",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"dosinia",2018,"region_3","maximally harvested","no increase",0,0,0,3,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region"
"engraulis",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"etrumeus",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"farfantepenaeus",2018,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"galeocerdo",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"galeorhinus",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"gelidium",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"gracilariopsis",2018,"region_3","development potential","increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"gynglymostoma",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"haliotis",2018,"region_3","decreasing","decrease",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"hoplopagrus",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"isurus",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"larkinia",2018,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"litopenaeus",2018,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"lutjanus",2018,"region_3","maximally harvested","no increase",8,8,0,NA,TRUE,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
"lyropecten",2018,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)"
